Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
pixmeo.com,"685381","Pixmeo","266 rue de Bernex","Bernex","","1233","Switzerland","","","j0ris","0 - 25","$0 - 1M","No","","Medical Devices","Datanyze"
osirixfoundation.com,"1M+","OsiriX Foundation","","","","","Switzerland","","","AppStore","25 - 100","$1 - 10M","","","Medical Devices","Datanyze"
stereotools.com,"1M+","StereoTools SARL","Chemin de la Raye 13","Ecublens","vaud","1024","Switzerland","","","","0 - 25","$0 - 1M","","","Medical Devices","Datanyze"
