Website,Alexa Rank,Company name,Street,City,State,Zip,Country,Phone number,Company email,Twitter,Employees,Revenue,Public (Yes/No),Funded (Yes/No),Industry,Source
arosystems.com.au,"1M+","ARO Systems","1/20 Mint Street","Wodonga","VIC","3690","Australia","","","AROSystems","0 - 25","$0 - 1M","Yes","","Medical Devices","Datanyze"
qhealthcare.com.au,"1M+","Quantum Healthcare P/L","Alexandria","Sydney","NSW","","Australia","","","","100 - 250","$10 - 50M","Yes","","Medical Devices","Datanyze"
imagingsol.com.au,"1M+","Imaging Solutions Pty Ltd","Units 15-16 2-13 Knobel Court","SHAILER PARK","QLD","4128","Australia","","","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
eizo.com.au,"1M+","EIZO Oceania","7/6 Herbert Street","St Leonards","NSW","2065","Australia","","","","25 - 100","$1 - 10M","No","","Medical Devices","Datanyze"
